impractical - practical,complicated - simple,dull - creative,boring - exciting,tacky - stylish,amateurish - professional,unpleasant - pleasant,unattractive - attractive
practical,complicated,dull,boring,stylish,amateurish,pleasant,attractive
quite practical,somewhat simple,neutral,somewhat exciting,quite tacky,quite professional,pleasant,somewhat attractive
somewhat practical,quite complicated,somewhat creative,quite exciting,somwhat tacky,somewhat professional,somewhat unpleasant,somewhat unattractive
somewhat impratical,quite simple,quite dull,exciting,somewhat stylish,neutral,quite pleasant,attractive
quite impractical,simple,somewhat dull,boring,quite tacky,somewhat amateurish,,unattractive
neutral,somewhat complicated,neutral,quite boring,somewhat stylish,neutral,unpleasant,quite attractive
impractical,simple,neutral,somewhat boring,neutral,neutral,neutral,neutral
practical,complicated,quite creative,exciting,somewhat stylish,professional,somewhat pleasant,somewhat unattractive
practical,complicated,creative,neutral,stylish,amateurish,pleasant,attractive
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
somewhat impratical,simple,neutral,boring,tacky,professional,pleasant,somewhat attractive
somewhat impratical,complicated,dull,qute boring,stylish,professional,somewhat pleasant,neutral
quite practical,somewhat simple,neutral,somewhat boring,neutral,quite professional,pleasant,somewhat attractive
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
quite practical,somewhat simple,quite dull,somewhat boring,quite stylish,somewhat professional,neutral,attractive
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
somewhat practical,complicated,somewhat creative,quite exciting,neutral,somewhat professional,unpleasant,attractive
neutral,neutral,somewhat creative,neutral,neutral,professional,pleasant,quite unattractive
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
somewhat practical,quite complicated,somewhat creative,quite boring,quite stylish,neutral,quite pleasant,neutral
somewhat practical,neutral,creative,boring,neutral,somewhat amateurish,somewhat unpleasant,neutral
neutral,somewhat simple,neutral,exciting,neutral,quite professional,quite pleasant,attractive
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
somewhat practical,quite simple,creative,exciting,stylish,quite amateuris,quite unpleasant,quite unattractive
